Name,SHA1,Product,Description,ProductVersion,FileVersion,MachineType,Category,Usecase,LolDriversUrl
DcProtect.sys,f8e88630dae53e0b54edefdefa36d96c3dcbd776,DcProtect (R) Win8x86 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
DcProtect.sys,1479717fab67d98bbc3665f6b12adddfca74e0ef,DcProtect (R) Win7x64 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
DcProtect.sys,6de3d5c2e33d91eef975a30bc07b0e53a68e77b8,DcProtect (R) Win7x86 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
HwOs2Ec10x64.sys,dc0e97adb756c0f30b41840a59b85218cbdd198f,Huawei MateBook,HwOs2Ec,1.0.0.1,1.0.0.1,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/3ab0d182-6365-47a7-89f4-34121e889503/
CSC.sys,6bf3a21428eb51ecb84e41e9c1e0ac9105fd3079,Microsoft® Windows® Operating System,Windows Client Side Caching Driver,10.0.22621.1,10.0.22621.1 (WinBuild.160101.0800),AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/1c92e1bf-103b-4545-b242-e5a9858ec9c8/
SANDRA.sys,09c567b8dd7c7f93884c2e6b71a7149fc0a7a1b5,SiSoftware Sandra,Sandra Device Driver (Win64 x64)(Unicode),10.7.1.1,10.7.1.1 built by: WinDDK,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a7628504-9e35-4e42-91f7-0c0a512549f4/
SANDRA.sys,3059bc49e027a79ff61f0147edbc5cd56ad5fc2d,SiSoftware Sandra,Sandra Device Driver (Win64 x64)(Unicode),10.5.1.1,10.5.1.1 built by: WinDDK,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a7628504-9e35-4e42-91f7-0c0a512549f4/
SANDRA.sys,dcdc9b2bc8e79d44846086d0d482cb7c589f09b8,SiSoftware Sandra,Sandra Device Driver (Win64 x64)(Unicode),10.3.1.1,10.3.1.1 built by: WinDDK,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a7628504-9e35-4e42-91f7-0c0a512549f4/
SANDRA.sys,8d0f33d073720597164f7321603578cd13346d1f,SiSoftware Sandra,Sandra Device Driver (Win32 x86)(Unicode),10.7.1.1,10.7.1.1 built by: WinDDK,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a7628504-9e35-4e42-91f7-0c0a512549f4/
BSMEMx64.sys,9d07df024ec457168bf0be7e0009619f6ac4f13c,BIOSTAR I/O driver fle,I/O Interface driver file,"1, 1, 0, 0","1, 1, 0, 0",AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/9e87b6b0-00ed-4259-bcd7-05e2c924d58c/
iomem64.sys,4b009e91bae8d27b160dc195f10c095f8a2441e1,iomem.sys,DTR Kernel mode driver,2.3.0.0,2.3.0.0,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/04d377f9-36e0-42a4-8d47-62232163dc68/
iomem64.sys,6003184788cd3d2fc624ca801df291ccc4e225ee,iomem.sys,DTR Kernel mode driver,2.2.0.0,2.2.0.0,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/04d377f9-36e0-42a4-8d47-62232163dc68/
