SourceID,Name,Status,RuleID,FilenamePatternCount,FilenameRegex,FilteredFilenameRegex,Reason,SourceRows
gotoassist__goto_resolve_,GoToAssist (GoTo Resolve),Generated,DR-MFT-RMM-260,17,^GoToResolveExternalModuleHandler\.exe$|^GoToResolveFileManager\.exe$|^GoToResolveLoggerProcess\.exe$|^GoToResolveNetworkChecker\.exe$|^GoToResolveProcessChecker\.exe$|^GoToResolveQuickView\.exe$|^GoToResolveRegistryEditor\.exe$|^GoToResolveRemoteControl\.exe$|^GoToResolveServiceManager\.exe$|^GoToResolveService\.exe$|^GoToResolveTerminal\.exe$|^GoToResolveTools32\.exe$|^GoToResolveTools64\.exe$|^GoToResolveUi\.exe$|^GoToResolveUnattendedRemover\.exe$|^GoToResolveUnattendedUi\.exe$|^GoToResolveUnattended\.exe$,,,1
gotoassist_agent_desktop_console,GoToAssist Agent Desktop Console,Generated,DR-MFT-RMM-063,1,^G2RDesktopConsole-x64\.msi$,,,1
gotohttp,GotoHTTP,Generated,DR-MFT-RMM-064,3,^GotoHTTP.*\.exe$|^GotoHTTP_x64\.exe$|^gotohttp\.exe$,,,1
gotomypc,GoToMyPC,Generated,DR-MFT-RMM-261,1,^G2M\.exe$,,,1
goverlan,Goverlan,Generated,DR-MFT-RMM-067,6,^GovSrv\.exe$|^GovAgentInstallHelper\.exe$|^GovAgentx64\.exe$|^GovReachClient\.exe$|^goverrmc\.exe$|^govsrv.*\.exe$,,,1
guacamole,Guacamole,Generated,DR-MFT-RMM-068,1,^guacd\.exe$,,,1
heartbeatrm,HeartbeatRM,Generated,DR-MFT-RMM-262,3,^agent-installer-any\.exe$|^hbrm-updater-x64\.exe$|^hbrm-x64\.exe$,,,1
helpbeam,HelpBeam,Generated,DR-MFT-RMM-069,1,^helpbeam.*\.exe$,,,1
helpu,HelpU,Generated,DR-MFT-RMM-070,3,^HelpuManager\.exe$|^HelpuUpdater\.exe$|^helpu_install\.exe$,,,1
helpwire,HelpWire,Generated,DR-MFT-RMM-263,2,^HelpWire Quick\.exe$|^helpwire\.exe$,,,1
hoptodesk,HopToDesk,Generated,DR-MFT-RMM-264,2,^HopToDesk\.exe$|^HopToDesk-Standalone\.exe$,,,1
i'm_intouch,I'm InTouch,Generated,DR-MFT-RMM-265,3,^I'm InTouch Go Installer\.exe$|^iit\.exe$|^intouch\.exe$,,,1
idrive,iDrive,Generated,DR-MFT-RMM-266,3,^IDriveWinSetup\.exe$|^IDriveEClassic\.exe$|^id_tray\.exe$,^IDComponent\.dll$,Filtered ambiguous or non-specific filename indicators,1
immybot,ImmyBot,Generated,DR-MFT-RMM-267,4,^ImmyAgent\.exe$|^ImmyUpdater\.exe$|^ImmyBot\.msi$|^ImmyBot\.Agent\.Ephemeral\.exe$,,,1
impero_connect,Impero Connect,Generated,DR-MFT-RMM-072,1,^ImperoClientSVC\.exe$,,,1
instant_housecall,Instant Housecall,Generated,DR-MFT-RMM-073,3,^InstantHousecall\.exe$|^hsloader\.exe$|^ihcserver\.exe$,,,2
insync,Insync,Generated,DR-MFT-RMM-074,1,^Insync\.exe$,,,1
intelliadmin_remote_control,IntelliAdmin Remote Control,Generated,DR-MFT-RMM-075,5,^agent32\.exe$|^agent64\.exe$|^agent_setup_5\.exe$|^iadmin\.exe$|^intelliadmin\.exe$,,,1
invgate,InvGate,Generated,DR-MFT-RMM-268,4,^DepHlp\.exe$|^InvGate-ED\.exe$|^InvGateAssetsRD\.exe$|^InvGateRD\.exe$,^Software Matt\.dll$|^sas\.dll$,Filtered ambiguous or non-specific filename indicators,1
iperius_remote,Iperius Remote,Generated,DR-MFT-RMM-076,2,^iperius\.exe$|^iperiusremote\.exe$,,,1
isl_light,ISL Light,Generated,DR-MFT-RMM-269,3,^islalwaysonmonitor\.exe$|^isllight\.exe$|^isllightservice\.exe$,,,1
isl_online,ISL Online,Generated,DR-MFT-RMM-077,4,^ISLLight\.exe$|^ISLLightClient\.exe$|^islalwaysonmonitor\.exe$|^isllightservice\.exe$,,,2
itarian,Itarian,Generated,DR-MFT-RMM-078,10,^ComodoRemoteControl\.exe$|^ITSMAgent\.exe$|^ITSMService\.exe$|^ITarianRemoteAccessSetup\.exe$|^ItsmRsp\.exe$|^RAccess\.exe$|^RDesktop\.exe$|^RHost\.exe$|^RViewer\.exe$|^RmmService\.exe$,,,1
itsupport247__connectwise_,ITSupport247 (ConnectWise),Generated,DR-MFT-RMM-079,1,^saazapsc\.exe$,,,2
ivanti_remote_control,Ivanti Remote Control,Generated,DR-MFT-RMM-080,3,^AgentlessRC\.exe$|^ArcUI\.exe$|^IvantiRemoteControl\.exe$,,,1
jollysfastvnc,JollysFastVNC,Excluded,DR-MFT-RMM-270,0,,,No safe Windows filename indicator,1
jump_cloud,Jump Cloud,Generated,DR-MFT-RMM-081,1,^JumpCloud.*\.exe$,,,1
jump_desktop,Jump Desktop,Generated,DR-MFT-RMM-082,5,^jumpclient\.exe$|^jumpconnect\.exe$|^jumpdesktop\.exe$|^jumpservice\.exe$|^jumpupdater\.exe$,,,1
