DllName,Vendor,ExpectedLocation,ExecutablePath,Type,ExecutableSHA256,Url
cryptxml.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\clipup\.exe|\\Windows\\System32\\sppsvc\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cryptxml.html
cscapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\certreq\.exe|\\Windows\\System32\\microsoft\.uev\.cscunpintool\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cscapi.html
d2d1.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dataexchangehost\.exe|\\Windows\\System32\\dwm\.exe|\\Windows\\System32\\eoaexperiences\.exe|\\Windows\\System32\\gamepanel\.exe|\\Windows\\System32\\quickassist\.exe|\\Windows\\System32\\vsgraphicsdesktopengine\.exe|\\Windows\\System32\\vsgraphicsremoteengine\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d2d1.html
d3d10.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\winsat\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d10.html
d3d10_1.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\winsat\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d10_1.html
d3d10_1core.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\winsat\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d10_1core.html
d3d10core.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\winsat\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d10core.html
d3d10warp.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\slidetoshutdown\.exe|\\Windows\\System32\\systemreset\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d10warp.html
d3d11.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dataexchangehost\.exe|\\Windows\\System32\\dwm\.exe|\\Windows\\System32\\dxcap\.exe|\\Windows\\System32\\dxgiadaptercache\.exe|\\Windows\\System32\\gamepanel\.exe|\\Windows\\System32\\mdeserver\.exe|\\Windows\\System32\\quickassist\.exe|\\Windows\\System32\\systemreset\.exe|\\Windows\\System32\\taskmgr\.exe|\\Windows\\System32\\vsgraphicsdesktopengine\.exe|\\Windows\\System32\\vsgraphicsremoteengine\.exe|\\Windows\\System32\\winsat\.exe|\\Program Files( \(x86\))?\\Steam\\steamapps\\common\\wallpaper_engine\\wallpaper32\.exe,Sideloading,|1b0d67730ad59a49715e39f904f4f59ea9e81a54ea51ab20e6ec473546708aa7,https://hijacklibs.net/entries/microsoft/built-in/d3d11.html
d3d12.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dxgiadaptercache\.exe|\\Windows\\System32\\taskmgr\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d12.html
d3d9.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\magnify\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3d9.html
d3dcompiler_47.dll,Microsoft,\\Program Files( \(x86\))?\\windows kits\\10\\bin\\[^\\]+\\x64|\\Program Files( \(x86\))?\\windows kits\\10\\bin\\[^\\]+\\x86|\\Program Files( \(x86\))?\\windows kits\\10\\redist\\d3d\\x64|\\Program Files( \(x86\))?\\windows kits\\10\\redist\\d3d\\x86|\\Program Files( \(x86\))?\\wireshark|\\Program Files( \(x86\))?\\LogiOptionsPlus|\\Program Files( \(x86\))?\\cisco systems\\cisco jabber|\\Program Files( \(x86\))?\\microsoft\\edge\\application\\[^\\]+|\\Program Files( \(x86\))?\\microsoft\\edgewebview\\application\\[^\\]+|\\Program Files( \(x86\))?\\microsoft\\edgecore\\application\\[^\\]+|\\Program Files( \(x86\))?\\Google\\Chrome\\Application\\[^\\]+|\\Program Files( \(x86\))?\\Island\\Island\\Application\\[^\\]+|\\Program Files( \(x86\))?\\Zoom\\bin|\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\Zoom\\bin|\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\microsoft\\teams\\stage|\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\Programs\\Microsoft VS Code|\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dwm\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/d3dcompiler_47.html
d3dx9_43.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\Temp\\HPDIAGS\\0699814c-9c5f-46ad-8c9d-a1c61a163f2b\\d3dim9\.exe,Sideloading,a8a09d4e1ddbe4de188100b285a53b53b10677e4fbc93014e07211cdaf532e7b,https://hijacklibs.net/entries/microsoft/built-in/d3dx9_43.html
dal_keepalives.dll,Audinate,\\Program Files( \(x86\))?\\audinate\\shared files,\\Program Files( \(x86\))?\\audinate\\shared files\\mDnsResponder\.exe,Sideloading,8360c2391f373c9de46c5b37fef952c2309be34e62127777ad7358ddb1d437ff,https://hijacklibs.net/entries/3rd_party/audinate/dal_keepalives.html
