Name,Description,LolRMMLink,PathRegex,DomainRegex
Pcnow,Pcnow is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pcnow,^mwcliun\.exe$|^pcnmgr\.exe$|^webexpcnow\.exe$,au\.pcmag\.com/utilities/21470/webex-pcnow$
Basecamp,Basecamp is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/basecamp,,basecamp\.com$
Ammyy Admin,"Ammyy Admin is a remote monitoring and management (RMM) tool. Ammyy admin has been used by scammers to gain remote access to victims' computers. The tool is legitimate and is used by IT professionals for remote management. However, it has been abused by scammers to gain unauthorized access to victims' computers. The tool is free for personal use, but a license is required for commercial use. The tool allows for remote desktop control, file transfer, voice chat, and more. The tool is available for Windows only. will be added as it becomes available.",https://lolrmm.io/tools/ammyy_admin,.*\\AMMYY_Admin\.exe$|C:\\Users\\.*\\Downloads\\AMMYY_Admin\.exe$|C:\\\\ProgramData\\\\AMMYY\\\\.*|^AMMYY_Admin\.exe$|^aa_v.*\.exe$,.*ammyy\.com$|^136\.243\.104\.235$|^136\.243\.104\.242$|^136\.243\.18\.122$|ammyy\.com$
Splashtop,Splashtop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/splashtop,.*\\Splashtop\\Splashtop Remote\\Client for RMM\\.*|C:\\Program Files \(x86\)\\Splashtop\\.*|^strwinclt\.exe$,.*\.splashtop\.com$
Level.io,Level.io is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/level.io,^level-remote-control-ffmpeg\.exe$|^level-windows-amd64\.exe$|^level\.exe$,.*\.level\.io$|level\.io$
RunSmart,RunSmart is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/runsmart,,runsmart\.io$
Neturo,Neturo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/neturo,^neturo.*\.exe$|^neturo\.exe$|^ntrntservice\.exe$,neturo\.uplus\.co\.kr$
Quest KACE Agent (formerly Dell KACE),Quest KACE Agent (formerly Dell KACE) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/quest_kace_agent__formerly_dell_kace_,^konea\.exe$,.*\.kace\.com$|www\.quest\.com/kace/$
Connectwise Automate (LabTech),Connectwise Automate (LabTech) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/connectwise_automate__labtech_,^ltsvc\.exe$|^ltsvcmon\.exe$|^lttray\.exe$,.*\.hostedrmm\.com$
SmarTTY,SmarTTY is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/smartty,.*\\SmarTTY\.exe$|.*\\Sysprogs\\SmarTTY\\.*|c:\\Program Files \(x86\)\\Sysprogs\\SmarTTY\\.*,
