Name,Description,LolRMMLink,PathRegex,DomainRegex
SimpleHelp,SimpleHelp is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/simplehelp,^remote access\.exe$|^simplegatewayservice\.exe$|^simplehelpcustomer\.exe$|^simpleservice\.exe$|^windowslauncher\.exe$,simple-help\.com$
ISL Light,ISL Light is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/isl_light,^islalwaysonmonitor\.exe$|^isllight\.exe$|^isllightservice\.exe$,islonline\.com$
Synergy,Synergy is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/synergy,,
Level,Level is a remote monitoring and management (RMM) tool. Threat actors ...,https://lolrmm.io/tools/level,C:\\Program Files\\Level\\.*,agents\.level\.io$|builds\.level\.io$|downloads\.io$|level\.io$|online\.level\.io$
LANDesk,LANDesk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/landesk,.*\\LANDesk\\.*|.*\\issuser\.exe$|.*\\softmon\.exe$|.*\\tmcsvc\.exe$|C:\\Program Files \(x86\)\\LANDesk\\.*|^LANDeskPortalManager\.exe$|^issuser\.exe$|^landeskagentbootstrap\.exe$|^ldinv32\.exe$|^ldsensors\.exe$,.*\.ivanti\.com$|.*\.ivanticloud\.com$|ivanti\.com$
NoteOn-desktop sharing,NoteOn-desktop sharing is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/noteon-desktop_sharing,^nateon.*\.exe$|^nateon\.exe$|^nateonmain\.exe$,
Weezo,Weezo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/weezo,^weezo setup.*\.exe$|^weezo\.exe$|^weezohttpd\.exe$,.*\.weezo\.me$|.*\.weezo\.net$|weezo\.en\.softonic\.com$|weezo\.net$
Absolute (Computrace),Absolute (Computrace) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/absolute__computrace_,^ctes\.exe$|^cteshostsvc\.exe$|^ctespersitence\.exe$|^rpcld\.exe$|^rpcnet\.exe$,.*search\.namequery\.com$|.*server\.absolute\.com$
Yandex.Disk,Yandex.Disk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/yandex.disk,.*\\YandexDisk2\.exe$|.*\\Yandex\\.*|C:\\Program Files \(x86\)\\Yandex\\.*,
RealVNC,RealVNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/realvnc,,
NordLocker,NordLocker is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/nordlocker,,
ConnectWise,ConnectWise is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/connectwise,.*\\ScreenConnect.*Client.*\\.*|C:\\Program Files \(x86\)\\ScreenConnect Client \(.*\)\\.*,
Acronis Cyber Protect (Remotix),Acronis Cyber Protect (Remotix) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/acronis_cyber_protect__remotix_,^AcronisCyberProtectConnectAgent\.exe$|^AcronisCyberProtectConnectQuickAssist.*\.exe$,agents.*-cloud\.acronis\.com$|cloud\.acronis\.com$|connect\.acronis\.com$|gw\.remotix\.com$
Sorillus,Sorillus is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/sorillus,^Sorillus Launcher\.exe$|^Sorillus-Launcher.*\.exe$,.*\.sorillus\.com$|sorillus\.com$
ScreenMeet,ScreenMeet is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/screenmeet,^ScreenMeetSupport\.exe$|^ScreenMeet\.Support\.exe$,.*\.screenmeet\.com$|.*\.scrn\.mt$
Supremo,"Supremo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.
",https://lolrmm.io/tools/supremo,%USERPROFILE%\\\\AppData\\\\Local\\\\Temp\\\\SupremoRemoteDesktop\\\\|.*\\\\supremoremotedesktop\\\\supremosystem\.exe$|C:\\\\ProgramData\\\\SupremoRemoteDesktop\\\\|^SupremoSystem\.exe$|^supremo\.exe$|^supremohelper\.exe$|^supremoservice\.exe$,.*\.supremocontrol\.com$
DeskNets,DeskNets is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/desknets,,
Netreo,Netreo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netreo,,.*\.api\.netreo\.com$|activation\.netreo\.net$|charon\.netreo\.net$|netreo\.com$
GoTo Opener,GoTo Opener is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/goto_opener,.*\\GoTo Opener|C:\\Program Files \(x86\)\\GoTo Opener,
VNC,VNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/vnc,^vncserver\.exe$|^vncserverui\.exe$|^vncviewer\.exe$|^winvnc.*\.exe$|^winvnc\.exe$|^winvncsc\.exe$|^winwvc\.exe$,realvnc\.com/en/connect/download/vnc$
DameWare,DameWare is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/dameware,.*\\dwrcs\\.*|.*\\dwrcst\.exe$|C:\\Program Files\\SolarWinds\\Dameware Mini Remote Control\\.*|C:\\Windows\\dwrcs\\.*|^DameWare Mini Remote Control.*\.exe$|^DameWare Remote Support\.exe$|^SolarWinds-Dameware-DRS.*\.exe$|^SolarWinds-Dameware-MRC.*\.exe$|^dntus.*\.exe$|^dwrcs\.exe$,dameware\.com$
MeshCentral,"MeshCentral is a remote monitoring and management (RMM) tool. MeshAgent used along with MeshCentral to remotely manage computers. MeshAgent can execute commands on the target host by leveraging win-console to obscure their activities and win-dispatcher to run malicious code through IPC with child processes.
",https://lolrmm.io/tools/meshcentral,/usr/local/mesh_services/meshagent/.*|/usr/local/mesh_services/meshagent/meshagent/.*|^meshagent.*\.exe$|^meshcentral.*\.exe$,meshcentral\.com$
S3 Browser,S3 Browser is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/s3_browser,.*\\S3 Browser\\.*|.*\\s3browser.*\.exe$|C:\\Program Files \(x86\)\\S3 Browser\\.*,
CrossLoop,CrossLoop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/crossloop,^CrossLoopConnect\.exe$|^WinVNCStub\.exe$|^crossloopservice\.exe$,.*\.crossloop\.com$|crossloop\.en\.softonic\.com$
Pocket Controller,Pocket Controller is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pocket_controller,^pocketcloudservice\.exe$|^pocketcontroller\.exe$|^wysebrowser\.exe$,soti\.net/products/soti-pocket-controller$
NinjaRMM,NinjaRMM is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ninjarmm,^NinjaRMMAgentPatcher\.exe$|^NinjaRMMAgent\.exe$|^ninjarmm-cli\.exe$,.*\.ninja-backup\.com$|.*\.ninjaone\.com$|.*\.ninjarmm\.com$|.*\.ninjarmm\.net$|.*\.rmmservice\.ca$|.*\.rmmservice\.com\.au$|.*\.rmmservice\.eu$|ninja-backup\.com$|ninjaone\.com$|ninjarmm\.net$|resources\.ninjarmm\.com$|rmmservice\.ca$|rmmservice\.com\.au$|rmmservice\.eu$
ISL Online,ISL Online is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/isl_online,.*\\ISL Online\\ISL Light.*|.*\\ISLLight\.exe$|C:\\Program Files \(x86\)\\ISL Online\\ISL Light.*|^ISLLightClient\.exe$|^islalwaysonmonitor\.exe$|^isllight\.exe$|^isllightservice\.exe$,.*\.islonline\.com$|.*\.islonline\.net$
eHorus,eHorus is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ehorus,C:\\Program Files\\ehorus_agent\\.*|^ehorus standalone\.exe$|^ehorus_agent\.exe$|^ehorus_cmd\.exe$|^ehorus_launcher\.exe$|^ehorus_uit\.exe$,ehorus\.com$
Remote Manipulator System,Remote Manipulator System is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remote_manipulator_system,^rfusclient\.exe$|^rutserv\.exe$,.*\.internetid\.ru$|rmansys\.ru$
FleetDeck.io,"FleetDeck is a remote monitoring and management (RMM) tool that provides agent-based remote desktop access and system management capabilities. The software supports remote desktop access, reboot/shutdown capabilities including safe mode, and virtual terminal support. FleetDeck agents report system information and enable remote access to managed endpoints. The tool can be deployed via MSI, MST, or shared link installations.",https://lolrmm.io/tools/fleetdeck.io,C:\\Program Files \(x86\)\\FleetDeck Agent\\.*\\fd_agent\.dll|C:\\Program Files \(x86\)\\FleetDeck Agent\\.*\\fleetdeck_agent\.exe$|C:\\Program Files \(x86\)\\FleetDeck Agent\\fleetdeck_agent_svc\.exe$|C:\\Windows\\Temp\\FleetDeck\\.*|^fleetdeck-agent\.exe$|^fleetdeck_agent\.exe$|^fleetdeck_agent_svc\.exe$|^fleetdeck_commander_launcher\.exe$|^fleetdeck_commander_svc\.exe$|^fleetdeck_installer\.exe$|fleetdeck-agent\.msi|fleetdeck-agent\.mst,.*\.fleetdeck\.io$|agentmqtt\.fleetdeck\.io$|checkip\.zmazonaws\.com$|fleetdeck\.io$
mstsc,mstsc is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mstsc,.*Windows\\System32\\mstsc\.exe$|C:\\Windows\\System32\\mstsc\.exe$,
NoMachine,NoMachine is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/nomachine,^nomachine.*\.exe$|^nxd\.exe$|nxservice.*\.ese,nomachine\.com$
NetSupport Manager,NetSupport Manager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netsupport_manager,^client32\.exe$|^pcicfgui\.exe$|^pcictlui\.exe$,.*\.netsupportmanager\.com$|geo\.netsupportsoftware\.com$|netsupportmanager\.com$
ServerEye,ServerEye is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/servereye,^ServiceProxyLocalSys\.exe$|^servereye.*\.exe$,.*\.server-eye\.de$
Jump Desktop,Jump Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/jump_desktop,^jumpclient\.exe$|^jumpconnect\.exe$|^jumpdesktop\.exe$|^jumpservice\.exe$|^jumpupdater\.exe$,.*\.jumpdesktop\.com$|.*\.jumpto\.me$|jumpdesktop\.com$|jumpto\.me$
AnyDesk,"AnyDesk is a popular remote desktop software that enables users to access
and control a computer or device from a remote location. It was developed with the
primary goal of facilitating remote work, technical support, and collaboration between
individuals and teams.
",https://lolrmm.io/tools/anydesk,/Applications/AnyDesk\.app|C:\\Program Files \(x86\)\\AnyDesk\\.*|C:\\Program Files\\AnyDesk\\.*,.*\.anydesk\.com$|boot\.net\.anydesk\.com$|relay-[a-f0-9]{8}\.net\.anydesk\.com:443$
HelpU,HelpU is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/helpu,^HelpuManager\.exe$|^HelpuUpdater\.exe$|^helpu_install\.exe$,.*\.helpu\.co\.kr$|helpu\.co\.kr$
tmate,"tmate is an open-source terminal sharing tool for Linux and Unix-like systems, built on tmux. It enables instant terminal sharing over SSH, allowing remote terminal access and collaboration. The tool creates a unique session that can be shared with others for remote access, making it a legitimate tool for system administration but also potentially useful for unauthorized remote access.",https://lolrmm.io/tools/tmate,/usr/bin/tmate|/usr/local/bin/tmate|tmate|tmate-ready|tmate\.bashrc|tmate\.sock,.*\.tmate\.io$|tmate\.io$
RemotePass,RemotePass is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remotepass,^remotepass-access\.exe$|^rpaccess\.exe$|^rpwhostscr\.exe$,remotepass\.com$
Chrome Remote Desktop,Chrome Remote Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/chrome_remote_desktop,.*\\Google\\Chrome Remote Desktop\\.*|.*\\remoting_host\.exe$|C:\\Program Files \(x86\)\\Google\\Chrome Remote Desktop\\.*|^remote_host\.exe$|^remoting_host\.exe$,.*remotedesktop-pa\.googleapis\.com$|.*remotedesktop\.google\.com$|chromoting-client\.talkgadget\.google\.com$|chromoting-host\.talkgadget\.google\.com$|chromoting-oauth\.talkgadget\.google\.com$|remotedesktop\.google\.com$
Insync,Insync is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/insync,.*Users\\.*\\AppData\\Roaming\\Insync\\App\\Insync\.exe$|.*\\Insync\.exe$|C:\\Users\\USERNAME\\AppData\\Roaming\\Insync\\App\\Insync\.exe$,
Remobo,Remobo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remobo,^remobo\.exe$|^remobo_client\.exe$|^remobo_tracker\.exe$,remobo\.en\.softonic\.com$
Microsoft Quick Assist,Microsoft Quick Assist is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/microsoft_quick_assist,^quickassist\.exe$,.*\.support\.services\.microsoft\.com$
CloudFlare Tunnel,CloudFlare Tunnel is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/cloudflare_tunnel,^cloudflared\.exe$,cloudflare\.com/products/tunnel/$
Remcos,Remcos is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remcos,^remcos.*\.exe$,
KickIdler,KickIdler is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/kickidler,grabberEM\..*msi|grabberTT.*\.msi,kickidler\.com$|my\.kickidler\.com$
LiteManager,LiteManager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/litemanager,^ROMFUSClient\.exe$|^ROMServer\.exe$|^lmnoipserver\.exe$|^romfusclient\.exe$|^romserver\.exe$|^romviewer\.exe$,.*\.litemanager\.com$|.*\.litemanager\.ru$|litemanager\.com$
SuperPuTTY,SuperPuTTY is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/superputty,.*Downloads\\SuperPuTTY\\.*|.*\\SuperPuTTY\\.*|.*\\superputty\.exe$|C:\\Downloads\\SuperPuTTY\\.*,
Tactical RMM,Tactical RMM is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/tactical_rmm,^tacticalrmm\.exe$,docs\.tacticalrmm\.com$|login\.tailscale\.com$
Mocha VNC Lite,Mocha VNC Lite is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mocha_vnc_lite,.*\\RealVNC\\VNC4\\.*|This installs a modified VNC and cannot be blocked by path separate from VNC,
ManageEngine RMM Central,ManageEngine RMM Central is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/manageengine_rmm_central,,manageengine\.com/remote-monitoring-management/$
SkyFex,SkyFex is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/skyfex,^DeskRollUA\.exe$|^Deskroll\.exe$,.*\.deskroll\.com$|deskroll\.com$|skyfex\.com$
Guacamole,Guacamole is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/guacamole,^guacd\.exe$,guacamole\.apache\.org$
DesktopNow,DesktopNow is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/desktopnow,^desktopnow\.exe$,.*\.nchuser\.com$
NetLock RMM,NetLock RMM is an open source Remote Management and Monitoring tool with a paid support and cloud offering.,https://lolrmm.io/tools/netlock_rmm,/Library/Application Support/0x101_Cyber_Security/.*|/usr/0x101_Cyber_Security/Netlock_RMM/.*|/usr/local/bin/0x101_Cyber_Security/Netlock_RMM/.*|/var/0x101_Cyber_Security/.*|C:\\Program Files\\0x101 Cyber Security\\NetLock RMM\\UserAgent\\NetLock_RMM_User_Process\.exe$|C:\\Program Files\\0x101 Cyber Security\\NetLock RMM\\UserAgent\\NetLock_RMM_User_UAC\.exe$|C:\\ProgramData\\0x101 Cyber Security\\NetLock RMM\\Comm Agent\\.*|NetLock_RMM_Agent_Installer|^NetLock_RMM_Agent_Installer\.exe$,
Parsec,"Parsec is a remote desktop streaming tool for remote access and monitoring, mainly used for gaming and collaboration. 

Remote desktop reimagined â€“ a seamless 4k experience at up to 60 frames per second with near-zero latency. 
Secure, flexible, effortless access to whatever you do, at any time, from wherever you go.

Parsec focuses on real-time graphical interaction rather than system administration but can still be abused for lateral movement and initial access.
",https://lolrmm.io/tools/parsec,C:\\Program Files\\Parsec\\.*|^parsecd\.exe$|^pservice\.exe$,.*\.parsec\.app$|parsec\.app$|parsec\.gg$
Devolutions Remote Desktop Manager,Devolutions Remote Desktop Manager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/devolutions_remote_desktop_manager,.*\\RemoteDesktopManager\.exe$|C:\\Program Files\\Devolutions\\Remote Desktop Manager,
RuDesktop,RuDesktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rudesktop,^rd\.exe$|^rudesktop.*\.exe$,.*\.rudesktop\.ru$|rudesktop\.ru$
Remote Desktop Manager (Devolutions),Remote Desktop Manager (Devolutions) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remote_desktop_manager__devolutions_,,
Quick Assist,Quick Assist is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/quick_assist,^quickassist\.exe$,.*\.support\.services\.microsoft\.com$
TightVNC,TightVNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/tightvnc,^TightVNCViewerPortable.*\.exe$|^tvnserver\.exe$|^tvnviewer\.exe$,tightvnc\.com$
TurboMeeting,TurboMeeting is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/turbomeeting,^pcstarter\.exe$|^turbomeeting\.exe$|^turbomeetingstarter\.exe$,acceo\.com/turbomeeting/$
BeamYourScreen,BeamYourScreen is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/beamyourscreen,^beamyourscreen-host\.exe$|^beamyourscreen\.exe$,.*\.beamyourscreen\.com$|beamyourscreen\.com$
NetBird,"NetBird is an open-source VPN and remote access platform that provides secure peer-to-peer connectivity. It has been observed being leveraged in spear phishing campaigns across Europe, Africa, Canada, the Middle East, and South Asia, targeting financial executives and CFOs. The tool was deployed as part of multi-stage phishing attacks by threat actors including APT MuddyWater.",https://lolrmm.io/tools/netbird,/opt/netbird/.*|/usr/bin/netbird|/usr/local/bin/netbird|C:\\Program Files\\Netbird\\netbird-ui\.exe$|C:\\Program Files\\Netbird\\netbird\.exe$|C:\\ProgramData\\Netbird\\.*|^netbird-ui\.exe$|^netbird\.exe$|netbird,.*\.netbird\.io$|api\.netbird\.io$|netbird\.io$|signal\.netbird\.io$
rdpwrap,rdpwrap is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rdpwrap,^RDPCheck\.exe$|^RDPConf\.exe$|^RDPWInst\.exe$,github\.com/stascorp/rdpwrap$
Syncro,Syncro is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/syncro,^KabutoSetup\.exe$|^Kabuto\.App\.Runner\.exe$|^Kabuto\.Installer\.exe$|^Kabuto\.Service\.Runner\.exe$|^SyncroLive\.Agent\.exe$|^SyncroLive\.Service\.exe$|^Syncro\.App\.Runner\.exe$|^Syncro\.Installer\.exe$|^Syncro\.Overmind\.Service\.exe$|^Syncro\.Service\.exe$,.*\.kabutoservices\.com$|.*\.syncroapi\.com$|.*\.syncromsp\.com$|app\.kabuto\.io $|attachments\.servably\.com$|kabuto\.io$|kabutoservices\.com$|ld\.aurelius\.host$|repairshopr\.com$|servably\.com$|syncromsp\.com$
Centurion,Centurion is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/centurion,^ctiserv\.exe$,centuriontech\.com$
Laplink Everywhere,Laplink Everywhere is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/laplink_everywhere,^OOSysAgent\.exe$|^laplink-everywhere-setup.*\.exe$|^laplink\.exe$|^laplinkeverywhere\.exe$|^llrcservice\.exe$|^serverproxyservice\.exe$,atled\.syspectr\.com$|everywhere\.laplink\.com$|le\.laplink\.com$
Total Software Deployment,Total Software Deployment is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/total_software_deployment,.*\\Total Software Deployment\\.*|.*\\Tsdservice\.exe$|.*\\tniwinagent\.exe$|C:\\ProgramData\\Total Software Deployment\\.*,
ManageEngine,ManageEngine is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/manageengine,.*\\DesktopCentral_Agent\\bin\\.*|.*\\dcagentservice\.exe$|C:\\Program Files \(x86\)\\DesktopCentral_Agent\\bin\\.*|^InstallShield Setup\.exe$|^ManageEngine_Remote_Access_Plus\.exe$,
Access Remote PC,Access Remote PC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/access_remote_pc,C:\\Program Files \(x86\)\\RemotePC\\.*,
Itarian,Itarian is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/itarian,^ComodoRemoteControl\.exe$|^ITSMAgent\.exe$|^ITSMService\.exe$|^ITarianRemoteAccessSetup\.exe$|^ItsmRsp\.exe$|^RAccess\.exe$|^RDesktop\.exe$|^RHost\.exe$|^RViewer\.exe$|^RmmService\.exe$,.*\.cmdm\.comodo\.com$|.*\.itsm-us1\.comodo\.com$|mdmsupport\.comodo\.com$|remoteaccess\.itarian\.com$|servicedesk\.itarian\.com$
DragonDisk,DragonDisk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/dragondisk,.*\\Almageste\\DragonDisk\\.*|.*\\DragonDisk\.exe$|C:\\Program Files \(x86\)\\Almageste\\DragonDisk\\.*,
ESET Remote Administrator,ESET Remote Administrator is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/eset_remote_administrator,^ERAAgent\.exe$|^einstaller\.exe$|^era\.exe$|^eratool\.exe$|^ezhelp.*\.exe$,eset\.com/me/business/remote-management/remote-administrator/$
SimpleHelp,SimpleHelp is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/simplehelp,^remote access\.exe$|^simplegatewayservice\.exe$|^simplehelpcustomer\.exe$|^simpleservice\.exe$|^spsrv\.exe$|^windowslauncher\.exe$|serviceconfig\.xml,^51\.255\.19\.178$|^51\.255\.19\.179$|simple-help\.com$
ImmyBot,"ImmyBot is a remote monitoring and management (RMM) and automation tool designed for MSPs, focusing on workstation configuration, software deployment, and patch management. The tool has been reported in private threat intelligence as being delivered via phishing campaigns to establish unauthorized remote access, though no public references are currently available. ImmyBot uses signed agents and operates over secure websockets to managed endpoints.",https://lolrmm.io/tools/immybot,.*\\ImmyBot\\.*|C:\\Program Files \(x86\)\\ImmyBot\\ImmyAgent\.exe$|C:\\Program Files \(x86\)\\ImmyBot\\ImmyUpdater\.exe$|C:\\Program Files\\ImmyBot\\ImmyAgent\.exe$|C:\\Program Files\\ImmyBot\\ImmyUpdater\.exe$|C:\\Windows\\Temp\\ImmyBot\\.*|ImmyBot\.msi|^ImmyAgent\.exe$|^ImmyBot\.Agent\.Ephemeral\.exe$|^ImmyUpdater\.exe$,.*\.immy\.bot$|immy\.bot$
Koofr,Koofr is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/koofr,,
NTR Remote,NTR Remote is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ntr_remote,^NTRsupportPro_EN\.exe$,.*\.ntrsupport\.com$
MobaXterm,MobaXterm is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mobaxterm,.*\\MobaXterm_installer_.*\.msi|.*\\Mobatek\\MobaXterm\\.*|C:\\.*\\MobaXterm_installer_12\.1\.msi,
GetScreen,GetScreen is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/getscreen,^GetScreen\.exe$|^getscreen\.exe$,.*\.getscreen\.me$|GetScreen\.me$|getscreen\.me$
ToDesk,ToDesk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/todesk,^ToDesk_Service\.exe$|^ToDesk_Setup\.exe$|^todesk\.exe$,.*\.todesk\.com$|todesk\.com$|todesktop\.com$
FastViewer,FastViewer is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/fastviewer,^FastViewer\.exe$|^fastclient\.exe$|^fastmaster\.exe$,.*\.fastviewer\.com$|fastviewer\.com$
Alpemix,"Alpemix is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.
",https://lolrmm.io/tools/alpemix,C:\\AlpemixService\.exe$|C:\\AlpemixSrvc\\,.*\.alpemix\.com$|.*\.teknopars\.com$
MultCloud,MultCloud is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/multcloud,requires sign up,
LabTeach (Connectwise Automate),LabTeach (Connectwise Automate) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/labteach__connectwise_automate_,^ltsvc\.exe$,
Instant Housecall,Instant Housecall is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/instant_housecall,^InstantHousecall\.exe$|^hsloader\.exe$|^ihcserver\.exe$|^instanthousecall\.exe$,.*\.instanthousecall\.com$|.*\.instanthousecall\.net$|instanthousecall\.com$|secure\.instanthousecall\.com$
BeyondTrust,BeyondTrust is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/beyondtrust,,
ScreenConnect,ScreenConnect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/screenconnect,.*\\.*\\ScreenConnect\.ClientService\.exe$|.*\\.*\\ScreenConnect\.WindowsClient\.exe$|.*\\ScreenConnect Client.*\\.*|C:\\Program Files \(x86\)\\ScreenConnect Client \(.*\)\\.*|C:\\Program Files \(x86\)\\ScreenConnect Client \(.*\)\\ScreenConnect\.ClientService\.exe$|^ConnectWiseControl.*\.exe$|^Remote Workforce Client\.exe$|^connectwise.*\.exe$|^screenconnect.*\.exe$|^screenconnect\.clientservice\.exe$|^screenconnect\.windowsclient\.exe$,.*\.connectwise\.com$|.*\.screenconnect\.com$|control\.connectwise\.com$
247ithelp.com (ConnectWise),247ithelp.com (ConnectWise) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/247ithelp.com__connectwise_,^Remote Workforce Client\.exe$,.*\.247ithelp\.com$
Electric AI (Kaseya),Electric AI (Kaseya) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/electric_ai__kaseya_,,electric\.ai$
Splashtop Remote,Splashtop Remote is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/splashtop_remote,^SplashtopSOS\.exe$|^Splashtop_Streamer_Windows.*\.exe$|^sragent\.exe$|^srmanager\.exe$|^srserver\.exe$|^srservice\.exe$|^strwinclt\.exe$,.*\.api\.splashtop\.com$|.*\.api\.splashtop\.eu$|.*\.relay\.splashtop\.com$|splashtop\.com$
